[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: IFF;iff;Document;Interchange File Format;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ILBM;ilbm;Image;EA Raster Bitmap;ContentRecognizerAIFF;AIFF/AIFC Sound;32;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ILK;ilk;Document;Microsoft Linker Database;ContentRecognizerILK;Microsoft Linker Database;512;128000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: IMG;img;Image;GEM Raster File;ContentRecognizerIMG;GEM Raster File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: IND;ind;Document;Microsoft Full-text Search Index;ContentRecognizerIND;Microsoft Full-text Search Index;512;128000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: ISU;isu;Document;Microsoft Uninstall Script;ContentRecognizerISU;Microsoft Uninstall Script;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: JAR;jar;Other;Java JAR file;ContentRecognizerZIP;ZIP Archive;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: JFIFJPEG;jpg;Image;JFIF JPEG;ContentRecognizerJFIFJPEG;JFIF JPEG;128;33554432
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: JP2;jp2;Image;JPEG 2000 Image;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: JPM;jpm;Image;JPEG 2000 Compound Image;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: JPX;jpx;Image;JPEG 2000 with extensions;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: JTD;jtd;Document;Ichitaro Document;ContentRecognizerOLEStream;Microsoft OLE Stream;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: K25;k25;Image;Kodak K25 Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: KDC;kdc;Image;Kodak KDC Raw Image;ContentRecognizerTaggedImageFileFormat;Tagged Image File Format;512;536870912
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: KodakCommonInfoRAW;raw;Image;Kodak CommonInfo Raw Image;ContentRecognizerKodakCommonInfoRAW;Kodak CommonInfo RAW;512;16777216
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: LDB;ldb;Document;Microsoft Access Record-Locking Info;ContentRecognizerLDB;Microsoft Access Record-Locking Info;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: LIB;lib;Document;Microsoft Static Library;ContentRecognizerLIB;Microsoft Static Library;512;512000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: LNK;lnk;Document;Microsoft Shortcut File;ContentRecognizerLNK;Microsoft Shortcut File;32;2048
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: LWP;lwp;Document;WordPro File;ContentRecognizerLWP;WordPro File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: LeicaPanasonicRAW;raw;Image;Panasonic RAW Raw Image;ContentRecognizerPanasonicRAW;Panasonic/Leica Raw;512;134217728
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: LotusFMT;fmt;Document;Lotus 1-2-3 FMT;ContentRecognizerLotusFMT;Lotus 1-2-3 FMT;128;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: M4A;m4a;Audio;MPEG-4 Audio;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: M4B;m4b;Audio;Apple iTunes AAC-LC Audio Book;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: M4P;m4p;Audio;Apple iTunes AAC-LC AES Protected Audio;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: M4V;m4v;Video;MPEG-4 Video;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MAC;mac;Image;MacPaint File;ContentRecognizerMAC;MacPaint File;512;32000000
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MAF;maf;Image;Photo Player MAF;ContentRecognizerQuickTime;QuickTime;512;4294967296
[03:56:01.452] (debug) src\ContentTypeRegister.cpp:121: MBD;mbd;Document;Mbedlet File;ContentRecognizerMBD;Mbedlet File;512;32000000
